Opportunity ID,Opportunity Name,Entity Owning Equipment,Site Name,Channel Partner,Date Created,Date Closed (Forecast),Date Closed (Actual),Opportunity Value,Bid Currency,Opportunity State,Current Pipeline Stage,Expected Revenue,Date of Last Activity,Date of Next Activity,Probability,State Reason,Won,Trial?,Opportunity Product Quantity,Pricebook Name,Opportunity Owner,Product Family,Archived Field - Product Type ,Product ID,Organization Name,Owner Name,Channel Type,GAP Strategy,GAP Current State,Invoice Number,Purchase Order
35936755,NACG Cat 797 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:58:30,2023-08-17 00:00:00,2023-08-18 00:00:00,17740.0,CAD,WON,Following-up PO,17740.0,2025-09-15 20:48:57,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B102018,753209AC
35936758,NACG Cat 797 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:58:45,2023-09-22 00:00:00,2023-09-14 00:00:00,18540.0,CAD,WON,Following-up PO,18540.0,2025-09-15 20:48:57,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B102043,758588 AC
35936763,NACG Cat 793 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:59:03,2023-10-26 00:00:00,2023-10-20 00:00:00,18540.0,CAD,WON,Following-up PO,18540.0,2024-12-19 21:46:29,2023-12-04 01:00:00,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B102087,765746AC
35936768,NACG Cat 777 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:59:37,2023-03-02 00:00:00,2023-03-22 00:00:00,6146.0,CAD,WON,Qualifying Opportunity,6146.0,2025-09-15 20:49:04,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101826REV,719431AC
35936772,NACG Cat 793 Mag-Shield,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-07 16:59:56,2023-04-27 00:00:00,2023-04-17 00:00:00,18540.0,CAD,WON,Following-up PO,18540.0,2025-09-15 20:49:05,,100,,TRUE,FALSE,1.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101862,724467AC
35971503,Rio Tinto Weipa 776/777 MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:07:21,2022-12-06 00:00:00,2022-12-12 00:00:00,11622.0,CAD,WON,Qualifying Opportunity,11622.0,2024-12-19 21:46:29,2023-01-26 01:00:00,100,,TRUE,FALSE,2.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
35971509,Rio Tinto Weipa CAT 777G MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:12:41,2022-12-06 00:00:00,2022-12-12 00:00:00,7236.0,CAD,WON,Qualifying Opportunity,7236.0,2025-01-02 14:45:31,2023-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101756,20791
35971518,Rio Tinto Weipa CAT 777 Ev kit MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:17:46,2022-12-06 00:00:00,2022-12-12 00:00:00,10637.0,CAD,WON,Qualifying Opportunity,10637.0,2025-01-02 14:45:31,2023-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101755,20807
35971520,Rio Tinto Weipa CAT 777 EV kit MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:21:05,2022-12-06 00:00:00,2022-12-12 00:00:00,31911.0,CAD,WON,Qualifying Opportunity,31911.0,2025-01-02 14:45:31,2023-01-26 01:00:00,100,,TRUE,FALSE,3.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101763,20787
35971531,Rio Tinto Weipa CAT 789 MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:26:20,2022-12-06 00:00:00,2022-12-12 00:00:00,17020.0,CAD,WON,Qualifying Opportunity,17020.0,2025-01-02 14:45:31,2023-01-26 01:00:00,100,,TRUE,FALSE,2.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101763,20787
35971537,Rio Tinto Weipa CAT 777G MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-11 22:29:34,2022-12-06 00:00:00,2022-12-12 00:00:00,7236.0,CAD,WON,Qualifying Opportunity,7236.0,2025-01-02 14:45:31,2023-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101763,20787
35972401,Rio Tinto Weipa 777 EV Kit MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-12 05:24:37,2022-12-12 00:00:00,2022-12-12 00:00:00,10637.0,CAD,WON,Qualifying Opportunity,10637.0,2024-12-19 21:46:29,2023-01-26 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101755,20807
35977977,NACG 850/870 Mag-Shield Kits,North American Construction Group Ltd,,MagShield Pty Ltd,2022-12-12 20:49:45,2023-01-12 00:00:00,2022-12-14 00:00:00,71424.0,CAD,WON,Following-up PO,71424.0,2025-09-15 20:48:17,,100,,TRUE,FALSE,4.0,,2201432;Stacy Dukart,,Mag-Shield,,North American Construction Group Ltd,Stacy Dukart,End User,,,B101741,695214
35981181,Rio Tinto Weipa CAT 789D MagShield,Rio Tinto Limited,,Zemek Engineering Pty Ltd,2022-12-13 00:25:14,2023-02-20 00:00:00,2022-12-15 00:00:00,8510.0,CAD,WON,Following-up PO,8510.0,2025-01-02 14:45:31,2023-01-29 01:00:00,100,,TRUE,FALSE,1.0,,2036719;Murray Laidlaw,,Mag-Shield,,Rio Tinto Limited,Murray Laidlaw,Distributor,,,B101754,20779
